query_id,query_text,query_category,relevant_ids,total_relevant
0,Black lion running in the forest,animals,"1,2,3,4,5,6,7,8,9",9
14,Stunning silver motorcycle on the street driving,vehicles,"10,11,12,13,15,16,17,18,19",9
22,Stunning red ocean landscape beautiful,nature,"20,21,23,24,25,26,27,28,29",9
30,Amazing pasta in yellow color prepared on a plate,food,"31,32,33,34,35,36,37,38,39",9
49,Amazing skyscraper in blue color beautiful urban,architecture,"40,41,42,43,44,45,46,47,48",9
generic_animal,A pet animal,animal,,0
generic_vehicle,Transportation on the road,vehicle,,0
generic_nature,Beautiful outdoor scenery,nature,"20,21,22,23,24,25,26,27,28,29",10
generic_food,Delicious meal,food,"30,31,32,33,34,35,36,37,38,39",10
generic_architecture,Urban structure,architecture,"40,41,42,43,44,45,46,47,48,49",10
